l1_layer,l2_segment,l3_node,description
算力,AI芯片,云端训练芯片,数据中心用于大模型训练的加速卡与配套芯片
算力,AI芯片,云端推理芯片,数据中心用于大模型推理的加速卡
算力,AI芯片,边缘推理芯片,终端与边缘侧的推理加速芯片
算力,AI芯片,通用服务器CPU,服务器主处理器，含 x86 与自主指令集路线
算力,AI芯片,智能网卡DPU,数据处理单元与智能网卡
算力,芯片制造,晶圆代工,先进制程晶圆代工产能
算力,芯片制造,先进封装,CoWoS 等 2.5D/3D 先进封装产能
算力,芯片制造,封装设备,先进封装环节的键合、光刻、减薄等专用设备
算力,芯片制造,测试设备,芯片测试机与分选机
算力,芯片制造,载板,ABF 载板与高阶 IC 封装基板
算力,芯片制造,EDA工具,芯片设计自动化软件
算力,芯片制造,半导体材料,光刻胶、电子特气、CMP 材料等
算力,存储,HBM,高带宽存储，AI 加速卡的配套瓶颈环节
算力,存储,服务器内存,服务器 DRAM 模组与内存接口芯片
算力,存储,企业级SSD,数据中心固态存储
算力,服务器与网络,AI服务器,搭载加速卡的整机与集群交付
算力,服务器与网络,通用服务器,通用计算整机
算力,服务器与网络,交换机,数据中心以太网与 InfiniBand 交换设备
算力,服务器与网络,光模块,数据中心内部与集群互联的光收发模块
算力,服务器与网络,PCB,服务器与交换机用高多层高频印制电路板
算力,服务器与网络,连接器,高速背板连接器与线缆组件
算力,数据中心配套,服务器电源,服务器与机柜级供电模块
算力,数据中心配套,液冷散热,冷板式与浸没式液冷方案
算力,数据中心配套,IDC,数据中心机房建设与运营
算力,算力服务,算力租赁,以租赁方式对外提供智能算力
模型,基础模型,通用大模型,通用语言与推理基础模型
模型,基础模型,多模态模型,图像、视频、语音的多模态基础模型
模型,模型工具链,训练框架,分布式训练框架与并行策略
模型,模型工具链,推理引擎,推理加速与服务化框架
应用,企业应用,AI办公,文档、会议、协同场景的 AI 功能
应用,企业应用,AI编程,代码生成与研发流程 AI 工具
应用,企业应用,智能客服,对话式客服与营销
应用,行业应用,智能驾驶,自动驾驶与智能座舱
应用,行业应用,AI医疗,医学影像与辅助诊断
数据,数据服务,数据标注,训练数据采集与标注服务
数据,数据服务,语料库,预训练与微调语料的采集与治理
能源,电力供应,发电设备,为数据中心供电的发电与储能设备
能源,电力供应,变压器与配电,数据中心变配电设备
