alias,entity_id,alias_type,source,confidence
海光,CN.688041,short,manual:seed,high
海光信息,CN.688041,short,manual:seed,high
Hygon,CN.688041,en,manual:seed,high
688041.SH,CN.688041,ticker,manual:seed,high
深算,CN.688041,product,manual:seed,medium
曙光,CN.603019,short,manual:seed,high
中科曙光,CN.603019,short,manual:seed,high
Sugon,CN.603019,en,manual:seed,high
603019.SH,CN.603019,ticker,manual:seed,high
浪潮,CN.000977,short,manual:seed,medium
浪潮信息,CN.000977,short,manual:seed,high
Inspur,CN.000977,en,manual:seed,medium
000977.SZ,CN.000977,ticker,manual:seed,high
紫光股份,CN.000938,short,manual:seed,high
新华三,CN.000938,nickname,manual:seed,medium
H3C,CN.000938,en,manual:seed,medium
000938.SZ,CN.000938,ticker,manual:seed,high
寒武纪,CN.688256,short,manual:seed,high
Cambricon,CN.688256,en,manual:seed,high
688256.SH,CN.688256,ticker,manual:seed,high
思元,CN.688256,product,manual:seed,medium
龙芯,CN.688047,short,manual:seed,high
龙芯中科,CN.688047,short,manual:seed,high
Loongson,CN.688047,en,manual:seed,high
688047.SH,CN.688047,ticker,manual:seed,high
LoongArch,CN.688047,product,manual:seed,medium
通富微电,CN.002156,short,manual:seed,high
通富,CN.002156,short,manual:seed,medium
TFME,CN.002156,en,manual:seed,medium
002156.SZ,CN.002156,ticker,manual:seed,high
长电科技,CN.600584,short,manual:seed,high
长电,CN.600584,short,manual:seed,medium
JCET,CN.600584,en,manual:seed,high
600584.SH,CN.600584,ticker,manual:seed,high
长川科技,CN.300604,short,manual:seed,high
长川,CN.300604,short,manual:seed,medium
300604.SZ,CN.300604,ticker,manual:seed,high
澜起科技,CN.688008,short,manual:seed,high
澜起,CN.688008,short,manual:seed,medium
Montage,CN.688008,en,manual:seed,medium
688008.SH,CN.688008,ticker,manual:seed,high
中际旭创,CN.300308,short,manual:seed,high
旭创,CN.300308,short,manual:seed,medium
Innolight,CN.300308,en,manual:seed,high
300308.SZ,CN.300308,ticker,manual:seed,high
中际装备,CN.300308,former,manual:seed,medium
沪电股份,CN.002463,short,manual:seed,high
沪电,CN.002463,short,manual:seed,medium
WUS,CN.002463,en,manual:seed,medium
002463.SZ,CN.002463,ticker,manual:seed,high
英维克,CN.002837,short,manual:seed,high
Envicool,CN.002837,en,manual:seed,high
002837.SZ,CN.002837,ticker,manual:seed,high
台积电,TW.2330,short,manual:seed,high
TSMC,TW.2330,en,manual:seed,high
2330.TW,TW.2330,ticker,manual:seed,high
CoWoS,TW.2330,product,manual:seed,high
台积,TW.2330,nickname,manual:seed,medium
英伟达,US.NVDA,short,manual:seed,high
NVIDIA,US.NVDA,en,manual:seed,high
NVDA,US.NVDA,ticker,manual:seed,high
辉达,US.NVDA,nickname,manual:seed,medium
老黄,US.NVDA,nickname,manual:seed,low
超微半导体,US.AMD,short,manual:seed,medium
AMD,US.AMD,en,manual:seed,high
超威,US.AMD,nickname,manual:seed,low
英特尔,US.INTC,short,manual:seed,high
Intel,US.INTC,en,manual:seed,high
INTC,US.INTC,ticker,manual:seed,high
SK海力士,KR.000660,short,manual:seed,high
海力士,KR.000660,short,manual:seed,medium
SK hynix,KR.000660,en,manual:seed,high
hynix,KR.000660,en,manual:seed,medium
